id,title,country,year,averageScore,popularity,score,berserk_cos,centroid_cos,top_tags,label_group
123573,Lout of Count’s Family,KR,2020,78.0,42194,0.683864803073372,0.39435519610137315,0.5581267316143443,"War, Isekai, Found Family, Male Protagonist, Politics",
130229,Shotgun Boy,KR,2021,77.0,20986,0.6838510897527855,0.32791435763904986,0.47368774064745495,"Demons, Bullying, Male Protagonist, Guns, School",
30894,Rosario+Vampire,JP,2004,71.0,22227,0.6830454389914357,0.23873662258685918,0.41615178588756885,"Vampire, Monster Girl, Magic, Female Harem, Male Protagonist",
30658,Blade of the Immortal,JP,1993,83.0,31329,0.6817361216161173,0.4462718297004886,0.6284453868367395,"Tragedy, Martial Arts, Revenge, Samurai, Swordplay",STRONG_POS
67563,Terra Formars,JP,2011,69.0,14363,0.6808052436413312,0.42033812751585237,0.5507519943538874,"Aliens, Henshin, Super Power, Tragedy, Seinen",MOD_POS
117460,Overgeared,KR,2020,77.0,36249,0.6799326179342332,0.33365599064244156,0.5300642137326431,"Video Games, Virtual World, Male Protagonist, Magic, Kingdom Management",STRONG_POS
85564,Mushoku Tensei: Jobless Reincarnation,JP,2014,78.0,45869,0.6793818892620581,0.44448001509162616,0.4868630266896077,"Isekai, Reincarnation, Magic, Family Life, Age Gap",
85143,Tower of God,KR,2010,81.0,97305,0.6786637595602178,0.4523595854816238,0.6596415652594616,"Super Power, Ensemble Cast, Full Color, War, Conspiracy",MOD_POS
78151,World Trigger,JP,2013,77.0,19809,0.6786594554517222,0.2623668788629725,0.5120652931490812,"Aliens, Shounen, Super Power, Ensemble Cast, War",
118408,Villains Are Destined to Die,KR,2020,84.0,39568,0.6784131944694655,0.2397903772561481,0.2996806424337288,"Female Protagonist, Villainess, Estranged Family, Full Color, Isekai",
118177,Solo Glitch Player,KR,2020,68.0,12684,0.6779687600514634,0.3010375394882191,0.48229100539136055,"Reincarnation, Full Color, Male Protagonist, Politics, Isekai",
63031,Alice in Borderland,JP,2010,82.0,40062,0.6777757151831003,0.41893348456447155,0.6050657061745499,"Tragedy, Death Game, Survival, Philosophy, Amnesia",
86310,Fire Force,JP,2015,78.0,64328,0.677006903372063,0.36763612090190595,0.5797535581543829,"Cosmic Horror, Super Power, Religion, Gods, Shounen",
104617,Uncle from Another World,JP,2018,77.0,13869,0.6768501539855276,0.35372545740372663,0.47920030441286937,"Isekai, Male Protagonist, Parody, Magic, Otaku Culture",
106064,Chained Soldier,JP,2019,74.0,52363,0.6757463707496708,0.35506783881031967,0.5665668289744743,"Heterosexual, Super Power, Male Protagonist, Primarily Female Cast, Nudity",
86510,4 Cut Hero,KR,2014,74.0,6539,0.6747136815141233,0.4092687712042909,0.5833648422515918,"Male Protagonist, Parody, Super Power, Revenge, Primarily Adult Cast",
122063,Shangri-La Frontier,JP,2020,81.0,20598,0.6744998485811273,0.27270775903370537,0.5032569876821658,"Video Games, Virtual World, Shounen, Kemonomimi, Anthropomorphism",
38070,Sengoku Youko,JP,2007,81.0,9015,0.6744151147336245,0.30149225481424713,0.5053551700790837,"Demons, Samurai, Shounen, Cultivation, Gods",
33749,Umineko When They Cry Episode 1: Legend of the Golden Witch,JP,2007,75.0,16579,0.6741426873792846,0.30764139790830386,0.43276390723811187,"Ensemble Cast, Detective, Male Protagonist, Shounen, Female Protagonist",
30336,GTO: Great Teacher Onizuka,JP,1997,86.0,54629,0.6732427776629949,0.2711901107185083,0.4168577183434872,"Teacher, School, Ensemble Cast, Coming of Age, Work",
31111,Buddha,JP,1972,82.0,6241,0.6716954795649772,0.40857805643319356,0.5171436758566913,"Philosophy, Historical, Foreign, Religion, War",
129006,Gyakusatsu Happy End,JP,2017,70.0,7879,0.6708898727203438,0.32405577829668747,0.352572965653955,"Time Manipulation, Tragedy, Anti-Hero, Seinen, Crime",
30974,Basara,JP,1990,83.0,10834,0.6707609138639531,0.4375402134492636,0.47380887417865336,"War, Twins, Shoujo, Politics, Post-Apocalyptic",
137168,Becoming the Monarch,KR,2020,76.0,12321,0.6700544574153113,0.42881852731674336,0.6005254801178568,"War, Male Protagonist, Full Color, Reincarnation, Swordplay",
